leaf1	leaf2	leaf3
AT1G02380	1.64089	2.05915	2.67634
AT1G02390	6.07093	6.69099	5.42816
AT1G02391	0	0	0
AT1G02400	4.14851	3.00361	2.81325
AT1G02405	0.624501	0.306329	0.80577
AT1G02410	15.3965	16.4424	16.5468
AT1G02420	1.72339	2.02007	2.22363
AT1G02430	1.0307	1.36571	1.41758
AT1G02440	0.125894	0.152913	0.0828105
AT1G02450	1.5644	1.97	1.31655
AT1G02460	0.755797	0.723364	0.594691
AT1G02470	2.86342	4.199	1.83757
AT1G02475	46.8529	48.0913	48.7397
AT1G02480	0	0	0
AT1G02490	17.5781	8.00652	8.67193
AT1G02500	266.804	245.112	229.923
AT1G02510	0	0	0
AT1G02520	0.0500317	0.106346	0.106957
AT1G02530	0.0443251	0.0293662	0.0198792
AT1G02540	0	0	0
AT1G02550	0	0	0
AT1G02560	238.111	256.773	235.337
AT1G02570	0.0219101	0	0
AT1G02575	0	0	0
AT1G02580	0	0.0133613	0.00723587
AT1G02590	0	0	0
AT1G02600	0	0	0
AT1G02610	16.2571	18.0581	20.5317
AT1G02620	3.54671	3.60932	3.46791
AT1G02630	0.414452	0.506712	0.441212
AT1G02640	18.7335	16.5853	14.0373
AT1G02650	1.2944	1.24176	1.32236
AT1G02660	24.2259	22.4108	18.4922
AT1G02670	0.567985	0.77612	0.799415
AT1G02680	11.4644	11.3406	12.3478
AT1G02681	0.0507533	0	0
AT1G02690	5.3282	6.27049	5.3618
AT1G02700	0.297602	0.660817	0.715737
AT1G02710	3.33886	4.48233	3.46775
AT1G02720	5.69338	6.31526	6.00687
AT1G02730	8.66653	11.7908	9.51399
AT1G02740	7.33225	8.22081	8.26609
AT1G02750	9.82723	10.225	10.89
AT1G02760	0	0	0
AT1G02770	0.438882	0.523882	0.298643
AT1G02780	485.319	576.631	492.854
AT1G02790	0	0	0
AT1G02800	2.2879	2.90714	1.86987
AT1G02810	0.341908	0.352448	0.337351
AT1G02813	0	0	0
AT1G02816	12.1021	12.0505	12.3552
AT1G02820	13.4685	13.4002	14.3654
AT1G02830	0.0872396	0.079472	0
AT1G02840	67.4116	68.3963	69.6634
AT1G02850	4.23944	6.02981	2.93628
AT1G02860	12.8652	13.5393	14.8823
AT1G02870	17.3915	18.4542	16.7794
AT1G02880	12.9741	14.3434	12.7111
AT1G02890	21.773	22.6421	21.8861
AT1G02900	4.45864	3.87362	4.27701
AT1G02910	32.1585	35.4452	35.0046
AT1G02920	65.4359	42.8809	20.5181
AT1G02930	75.5481	52.7532	25.2604
AT1G02940	0.2174	0.0990215	0.187689
AT1G02950	5.34386	6.67452	7.15489
AT1G02952	1.86515	3.00607	2.97278
AT1G02960	7.80125	7.82034	8.04158
AT1G02965	0	0	0
AT1G02970	1.4277	1.56239	1.57332
AT1G02980	0	0.00656709	0
AT1G02990	4.3526	4.19869	3.77385
AT1G03000	10.6788	11.4936	11.5004
AT1G03010	1.00984	1.00088	0.948551
AT1G03020	5.04423	6.08176	11.4178
AT1G03022	0	0	0
AT1G03030	8.50858	8.59589	8.64716
AT1G03040	21.6417	23.0895	20.5528
AT1G03050	0	0	0
AT1G03055	2.88547	4.03177	3.96606
AT1G03060	6.64641	7.15775	5.83958
AT1G03070	0.490168	0.721315	0.645582
AT1G03080	8.76783	7.78082	6.76759
AT1G03090	28.1803	27.2572	27.4784
AT1G03100	0.876686	0.973511	1.02285
