leaf1	leaf2	leaf3
AT1G34930	0	0	0
AT1G34967	0.00379988	0.0069231	0.00374924
AT1G35030	0	0	0
AT1G35035	0	0	0
AT1G35040	0	0	0
AT1G35050	0	0	0
AT1G35060	0	0	0
AT1G35080	0	0	0
AT1G35090	0	0	0
AT1G35100	0	0	0
AT1G35110	1.15178e-10	2.56606e-10	5.23873e-10
AT1G35112	5.12779	4.91601	4.44083
AT1G35115	6.07958	5.99304	5.1646
AT1G35120	0	0	0
AT1G35130	0	0.0291684	0
AT1G35140	18.1656	15.3274	11.394
AT1G35143	0	0	0
AT1G35146	0	0	0
AT1G35150	0	0	0
AT1G35160	102.448	107.415	106.68
AT1G35170	2.50744	2.59566	3.68291
AT1G35180	7.42391	7.29094	9.61263
AT1G35181	0	0	0
AT1G35183	0	12.9055	3.99372
AT1G35186	0	0	0
AT1G35190	11.3856	13.1563	11.1943
AT1G35200	0	0	0.0753742
AT1G35210	10.285	9.13823	8.00712
AT1G35220	6.44897	7.15099	5.8237
AT1G35230	4.81554	2.98164	2.52416
AT1G35240	0	0.00889357	0
AT1G35242	0	0	0
AT1G35250	0.448271	0.729211	0.379111
AT1G35255	0.262544	0.219237	0.302219
AT1G35260	5.20027	6.25816	4.99593
AT1G35270	0	0.00782302	0.00847318
AT1G35280	0	0	0
AT1G35290	0.691999	1.32598	0.423792
AT1G35300	0	0	0
AT1G35310	1.62693	2.62948	1.34633
AT1G35320	2.29247	2.28376	2.36774
AT1G35330	0	0	0.0388836
AT1G35333	0	0	0
AT1G35340	41.0846	45.9312	49.0331
AT1G35350	9.02541	8.05195	7.24921
AT1G35360	0	0	0
AT1G35365	0	0	0
AT1G35370	0	0	0
AT1G35375	0	0	0
AT1G35380	0	0	0
AT1G35390	0	0	0
AT1G35400	0	0	0
AT1G35405	0	0	0
AT1G35410	0	0	0
AT1G35420	78.1665	72.9487	80.2943
AT1G35430	20.6265	18.4341	17.692
AT1G35435	0	0	0.282343
AT1G35440	0	0	0
AT1G35450	0	0.0122665	0
AT1G35460	12.4334	15.9485	15.2427
AT1G35461	0	0	0
AT1G35465	0	0	0
AT1G35467	0	0	0
AT1G35470	9.08386	10.1871	10.5671
AT1G35480	0	0	0
AT1G35490	0	0	0
AT1G35500	0.0734595	0	0
AT1G35501	0	0	0
AT1G35510	11.6138	12.6664	11.7181
AT1G35513	1.16973	1.64681	1.4689
AT1G35515	0.213124	0.32358	0.420567
AT1G35516	63.7856	55.6984	68.1515
AT1G35520	0	0	0
AT1G35530	0.412822	0.405696	0.374416
AT1G35535	0	0	0
AT1G35537	0	0	0
AT1G35540	0	0	0
AT1G35545	0.0252429	0	0
AT1G35550	0.0723887	0.164859	0.249984
AT1G35560	10.0695	10.2385	9.421
AT1G35570	0	0	0
AT1G35580	77.725	74.4514	69.7798
AT1G35590	0	0	0
AT1G35600	0	0	0
AT1G35610	0	0.0170668	0
AT1G35612	32.6994	30.1845	39.2066
AT1G35614	0	0	0
AT1G35617	0	0	0
AT1G35620	43.5975	47.4304	45.4277
AT1G35625	0.019962	0.0363694	0.137872
AT1G35630	0.0358886	0.0653863	0.0531153
AT1G35640	0	0	0
AT1G35645	0	0	0
AT1G35647	0	0	0
AT1G35650	0	0	0
AT1G35660	2.13995	2.2054	2.10788
AT1G35663	0	0	0
AT1G35670	10.8994	13.1278	12.506
AT1G35680	448.255	520.952	551.144
AT1G35690	0	0	0
AT1G35700	0	0	0
AT1G35710	3.93543	3.96813	3.73884
AT1G35720	173.88	187.098	156.306
AT1G35730	0.174681	0.140407	0.202768
AT1G35735	0	0	0
AT1G35740	0	0	0
AT1G35745	0	0	0.00964503
AT1G35750	0	0	0
AT1G35760	0	0	0
AT1G35770	0	0	0
AT1G35780	8.62054	10.5786	9.20691
AT1G35790	0.00648177	0	0
AT1G35820	0	0	0
AT1G35830	1.67984	1.2123	1.42068
AT1G35840	0	0	0
AT1G35850	0	0	0
AT1G35860	0	0	0
AT1G35870	0	0	0
AT1G35880	0	0	0
AT1G35890	0	0	0
AT1G35900	0	0	0
AT1G35910	0.601569	0.606306	0.656695
AT1G35920	0	0	0
AT1G35930	0	0	0
AT1G35940	0	0	0
AT1G35950	0	0	0
AT1G35960	0	0	0
AT1G35970	0	0	0
AT1G35980	0	0	0
AT1G35990	0	0	0
AT1G35995	0.00732658	0.00667424	0.00722893
AT1G36000	0	0	0
AT1G36010	0	0	0
AT1G36020	0	0	0
AT1G36030	0	0	0
AT1G36035	0	0	0
AT1G36040	0	0	0
AT1G36050	27.9918	29.8593	29.3811
AT1G36060	3.51928	2.41086	2.66678
AT1G36070	6.22204	6.19279	6.69671
AT1G36078	0	0	0
AT1G36080	0	0	0
AT1G36090	0	0	0
AT1G36095	0	0	0
AT1G36100	0	0	0
AT1G36105	0	0	0
AT1G36110	0	0	0
AT1G36120	0	0	0
AT1G36130	0	0	0
AT1G36140	0	0	0
AT1G36150	0	0	0
AT1G36160	29.4338	34.0091	29.5683
AT1G36180	1.36583	1.68579	1.45604
AT1G36185	0	0	0.00354123
AT1G36190	0	0	0
AT1G36200	0	0	0
AT1G36210	0	0	0
AT1G36220	0	0	0
AT1G36225	0	0	0
AT1G36230	0	0	0
AT1G36240	0	0	0
AT1G36250	0	0	0
AT1G36260	0	0	0
AT1G36270	0	0	0
AT1G36272	0	0.776083	0
AT1G36280	4.21654	6.11151	5.32116
AT1G36290	0	0	0
AT1G36300	0	0	0.00359361
AT1G36305	0	0	0
AT1G36310	14.2237	18.3139	17.2628
AT1G36320	43.0874	51.8663	51.3705
AT1G36330	0	0	0
AT1G36340	0.11122	0.0337724	0.219475
AT1G36350	0	0	0
AT1G36360	0	0	0
AT1G36370	16.9038	18.2573	21.2983
AT1G36380	22.4016	20.9188	23.1077
AT1G36390	24.7603	32.4493	35.4607
AT1G36395	0	0	0
AT1G36400	0	0	0
AT1G36403	0	0	0
AT1G36406	0	0	0
AT1G36420	0	0	0
AT1G36430	0	0	0
AT1G36440	0	0	0
AT1G36441	0	0	0
AT1G36445	0	0	0
AT1G36450	0	0	0
AT1G36460	0	0	0
AT1G36470	0	0	0
AT1G36480	0	0	0
AT1G36485	0	0	0
AT1G36490	0	0	0
AT1G36495	0	0	0
AT1G36500	0	0	0
AT1G36510	0	0	0
AT1G36520	0	0	0
AT1G36530	0	0	0
AT1G36540	0	0	0
AT1G36550	0	0	0
AT1G36560	0	0	0
AT1G36570	0	0	0
AT1G36580	0.0458604	0.0417772	0
AT1G36590	0	0	0
AT1G36595	0	0	0
AT1G36600	0.017703	0	0
AT1G36605	0	0	0
AT1G36610	0	0	0
AT1G36620	0.00939575	0.00427959	0
AT1G36622	3.0921	2.35433	1.22946
AT1G36630	0	0	0.00207152
AT1G36640	0.118254	0.107725	0.116677
AT1G36650	0	0	0
AT1G36660	0	0	0
AT1G36670	0	0	0
AT1G36675	0.051077	0.139588	0.226783
AT1G36680	0.11695	0.0913177	0.0989069
AT1G36690	0	0	0
AT1G36700	0	0	0
AT1G36710	0	0	0
AT1G36720	0.00363955	0	0
AT1G36730	59.9864	64.1882	58.3962
AT1G36740	0	0	0
AT1G36745	0	0	0
AT1G36750	0	0	0
AT1G36756	0	0	0
AT1G36763	0	0	0
AT1G36770	0	0.00356904	0.00773131
AT1G36775	0	0	0
AT1G36790	0	0	0
AT1G36795	0	0	0
AT1G36800	0	0	0
AT1G36810	0	0.00496743	0.0107605
AT1G36830	0	0	0
AT1G36840	0	0	0
AT1G36850	0	0	0
AT1G36880	0	0	0
AT1G36890	0	0	0
AT1G36910	0	0	0
AT1G36915	0	0	0
AT1G36920	0	0	0
AT1G36922	0.0519625	0	0
AT1G36925	0	0	0
AT1G36927	0	0	0
AT1G36933	0	0	0
AT1G36936	0	0	0
AT1G36940	7.21545	6.8148	5.8574
AT1G36942	0	0	0
AT1G36950	0.0323587	0.0589551	0
AT1G36960	0	0	0
AT1G36970	0	0	0
AT1G36975	0	0	0
AT1G36980	156.772	136.079	139.066
AT1G36990	6.96602	8.08704	7.42348
AT1G36992	2.75079	4.01983	3.56229
AT1G37000	0	0	0.0334146
AT1G37007	0	0	0
AT1G37010	0	0	0
AT1G37012	0	0	0
AT1G37015	0	0	0
AT1G37020	0	0	0
AT1G37030	0	0	0
AT1G37035	0	0	0
AT1G37036	0	0	0
AT1G37037	0	0	0
AT1G37038	0	0	0
AT1G37040	0	0	0
AT1G37045	0	0	0
AT1G37050	0	0	0
AT1G37057	0.00522347	0	0
AT1G37060	0	0	0
AT1G37063	0	0	0
AT1G37070	0	0	0
AT1G37080	0	0	0
AT1G37090	0	0	0
AT1G37095	0	0	0
AT1G37100	0	0	0
AT1G37110	0	0	0
AT1G37113	0	0	0
AT1G37120	0	0	0
AT1G37130	238.003	263.124	239.24
AT1G37140	0	0.0564431	0
AT1G37150	0.632972	0.9724	0.818508
AT1G37160	0	0	0
AT1G37162	0	0	0
AT1G37170	0	0	0
AT1G37180	0	0	0
AT1G37190	0	0	0
AT1G37200	0	0	0
AT1G37210	0	0	0
AT1G37275	0	0	0
AT1G37340	0	0	0
AT1G37405	0	0	0
AT1G37471	0	0	0
AT1G37537	0	0	0
AT1G37603	0	0	0
AT1G37669	0	0	0
AT1G37735	0	0	0
AT1G37801	0	0	0
AT1G37867	0	0	0
AT1G37933	0	0	0
AT1G37999	0.00410982	0.0112317	0.00405504
AT1G38065	6.34883	6.95479	6.51006
AT1G38131	7.26371	8.91265	7.85433
AT1G38140	0	0	0
AT1G38149	0	0	0
AT1G38158	0	0	0
AT1G38167	0	0	0
AT1G38176	0	0	0
AT1G38185	0	0	0
AT1G38194	0	0	0
AT1G38203	0	0	0
AT1G38212	0	0	0
AT1G38221	0	0	0
AT1G38230	0	0	0
AT1G38240	0	0	0
AT1G38250	0	0	0
AT1G38260	0	0	0
AT1G38270	0	0	0
AT1G38280	0	0	0
AT1G38290	0	0	0
AT1G38300	0	0	0
AT1G38310	0	0	0
AT1G38320	0	0	0
AT1G38330	0	0	0
AT1G38340	0	0	0
AT1G38350	0	0	0
AT1G38360	0	0.00509582	0.00183977
AT1G38380	0	0	0
AT1G38390	0	0	0
AT1G38400	0	0	0
AT1G38410	0	0	0
AT1G38416	0	0	0
AT1G38423	0	0	0
AT1G38430	0	0	0
AT1G38440	0	0	0
AT1G38450	0	0	0
AT1G38460	0	0	0
AT1G38550	0	0	0
AT1G38630	0	0	0
AT1G38710	0	0	0
AT1G38790	0	0	0
AT1G38870	0	0	0
AT1G38950	0	0	0
AT1G39030	0	0	0
AT1G39110	0	0	0
AT1G39190	0	0	0
AT1G39270	0	0	0
AT1G39350	0	0	0
AT1G39430	0	0	0
AT1G39510	0	0	0
AT1G39511	0	0	0
AT1G39513	0	0	0
AT1G39515	0	0	0
AT1G39590	0	0	0
AT1G39670	0	0	0
AT1G39750	0	0	0
AT1G39830	0	0	0
AT1G39910	0	0	0
AT1G39990	0	0	0
AT1G40069	0	0	0
AT1G40070	0	0	0
AT1G40071	0	0	0
AT1G40072	0	0	0
AT1G40073	0	0	0
AT1G40074	0	0	0
AT1G40075	0	0	0
AT1G40076	0	0	0
AT1G40077	0	0	0
AT1G40078	0	0	0
AT1G40079	0	0	0
AT1G40080	0	0	0
AT1G40081	0	0	0
AT1G40083	0	0	0
AT1G40084	0	0	0
AT1G40085	0	0	0
AT1G40087	0	0	0
AT1G40089	0.527983	0.607545	0.466109
AT1G40091	0	0	0
AT1G40093	0	0	0
AT1G40095	0	0	0
AT1G40097	0	0	0
AT1G40099	0	0	0
AT1G40100	0	0	0
AT1G40101	0	0.00218251	0.00354585
AT1G40103	0	0	0
AT1G40104	0	0	0
AT1G40105	0	0	0
AT1G40106	0	0	0
AT1G40107	0	0	0
AT1G40109	0	0	0
AT1G40112	0	0	0
AT1G40113	0	0	0
AT1G40115	0	0	0
AT1G40117	0	0	0
AT1G40118	0	0	0
AT1G40119	0	0	0
AT1G40121	0.0188295	0	0
AT1G40123	0	0	0
AT1G40124	0	0	0
AT1G40125	0	0	0
AT1G40127	0	0	0
AT1G40129	0	0	0
AT1G40130	0	0	0
AT1G40131	0	0	0
AT1G40133	0	0	0
AT1G40135	0	0	0
AT1G40136	0	0	0
AT1G40137	0	0	0
AT1G40139	0	0	0
AT1G40141	0	0	0
AT1G40143	0	0	0
AT1G40150	0	0	0
AT1G40230	0	0	0
AT1G40310	0	0	0
AT1G40390	0	0	0
AT1G40470	0	0	0
AT1G40630	0	0	0
AT1G41115	0	0	0
AT1G41600	0	0	0
AT1G41630	0	0	0
AT1G41650	0	0	0
AT1G41660	0	0	0
AT1G41680	0.0306321	0.0558094	0.0151119
AT1G41690	0	0	0
AT1G41700	0	0	0
AT1G41710	0	0	0
AT1G41720	0	0	0
AT1G41723	0	0	0
AT1G41726	0	0	0
AT1G41730	0	0	0
AT1G41740	0	0	0
AT1G41743	0	0	0
AT1G41746	0	0	0
AT1G41750	0	0	0
AT1G41755	0	0	0
AT1G41760	0	0	0
AT1G41770	0	0	0
AT1G41775	0	0	0
AT1G41790	0	0	0
AT1G41795	0	0	0
AT1G41797	0.0421253	0.0511661	0.0461821
AT1G41798	0	0	0
AT1G41803	0	0	0
AT1G41810	0	0	0
AT1G41820	0	0	0
AT1G41825	0	0	0
AT1G41827	0	0	0
AT1G41830	46.2252	56.5499	48.1699
AT1G41835	0.00354079	0.00322553	0
AT1G41840	0	0	0
AT1G41850	0	0	0
AT1G41855	0	0	0
AT1G41860	0	0	0
AT1G41870	0	0	0
AT1G41875	0.354178	0	0
AT1G41880	162.008	215.73	195.117
AT1G41890	0.00421768	0.00384215	0
AT1G41893	0	0	0
AT1G41896	0	0	0.00321201
AT1G41900	0	0	0
AT1G41910	0	0	0
AT1G41920	0	0	0
AT1G41930	0	0	0
AT1G42003	0	0	0
AT1G42040	0	0	0
AT1G42045	0	0	0
AT1G42050	0.00508939	0.00463624	0
AT1G42060	0	0	0
AT1G42070	0	0	0
AT1G42080	0	0	0
AT1G42090	0	0	0
AT1G42100	0	0	0
AT1G42110	0	0.00721433	0
AT1G42120	0	0	0
AT1G42130	0	0	0
AT1G42140	0	0	0
AT1G42150	0	0	0
AT1G42160	0	0	0
AT1G42170	0	0	0
AT1G42180	0	0	0
AT1G42190	0	0	0
AT1G42200	0	0	0
AT1G42210	0	0	0
AT1G42220	0	0	0
AT1G42230	0	0	0
AT1G42240	0	0	0
AT1G42250	0	0	0
AT1G42260	0	0	0
AT1G42270	0	0	0
AT1G42280	0	0	0
AT1G42290	0	0	0
AT1G42300	0	0	0
AT1G42310	0	0	0
AT1G42320	0	0	0
AT1G42350	0.0314969	0.0153027	0.0393643
AT1G42360	0	0	0
AT1G42365	0	0	0
AT1G42367	0	0	0
AT1G42370	0	0	0
AT1G42375	0	0.00251689	0.00272606
AT1G42377	0	0	0
AT1G42380	0	0	0
AT1G42385	0	0	0
AT1G42390	0	0	0
AT1G42393	0	0	0
AT1G42396	0	0	0
AT1G42400	0	0	0
AT1G42410	0	0	0
AT1G42420	0	0	0
AT1G42430	13.3306	13.4082	13.7189
AT1G42440	11.0714	13.5573	12.2565
AT1G42450	0	0	0
AT1G42460	0	0	0
AT1G42470	8.78427	10.1205	9.96542
AT1G42480	17.5246	18.0253	19.4343
AT1G42490	0	0	0
AT1G42500	0	0	0
AT1G42510	0	0	0
AT1G42515	0	0	0
AT1G42520	0	0	0
AT1G42525	0	0	0
AT1G42530	0	0	0
AT1G42540	8.02629	9.27905	9.03777
AT1G42550	34.7759	41.4073	41.1023
AT1G42560	0.110117	0.100312	0.22937
AT1G42570	0	0	0
AT1G42580	0	0	0
AT1G42590	0	0	0
AT1G42595	0	0	0
AT1G42600	0	0	0
AT1G42602	0	0	0
AT1G42605	0	0	0
AT1G42610	0	0	0
AT1G42620	0	0	0
AT1G42630	0	0	0
AT1G42635	0	0	0
AT1G42650	0	0	0
AT1G42655	0	0	0
AT1G42680	0.351765	0.778224	0.644571
AT1G42690	0	0	0
AT1G42695	0	0	0
AT1G42697	0	0	0
AT1G42698	0	0	0
AT1G42699	0	0	0
AT1G42700	0	0	0
AT1G42703	0	0	0
AT1G42705	0	0	0
AT1G42710	0	0	0
AT1G42718	0	0	0
AT1G42727	0	0.00613814	0
AT1G42736	0	0	0
AT1G42740	0	0	0
AT1G42745	0	0	0
AT1G42780	0	0	0
AT1G42816	0	0	0
AT1G42852	0	0	0
AT1G42888	0	0	0
AT1G42924	0.0257127	0.00468466	0.010148
AT1G42960	178.764	174.011	186.342
AT1G42970	830.49	872.879	869.584
AT1G42980	0.0347056	0.0316155	0.0171215
AT1G42990	53.5747	40.9847	36.0053
AT1G43000	0.138224	0.188875	0.136381
AT1G43005	0	0	0
AT1G43010	0	0	0
AT1G43020	0.123625	0.130814	0.0526807
AT1G43030	0	0	0
AT1G43040	0.14083	0.513163	0.277905
AT1G43050	0	0	0
AT1G43060	0.00423683	0.00868408	0.0094058
AT1G43070	0	0	0
AT1G43080	0	0	0
AT1G43090	0	0	0
AT1G43100	0	0	0
AT1G43110	0	0	0
AT1G43120	0	0	0
AT1G43130	22.1654	22.5459	22.0472
AT1G43140	0	0.00710741	0
AT1G43145	0	0	0
AT1G43150	0	0	0
AT1G43160	0.17428	0.138918	0.300925
AT1G43170	425.077	522.263	424.21
AT1G43171	0.0248285	0.0226179	0.0489952
AT1G43180	0.10993	0.110156	0.0867718
AT1G43190	35.879	42.1084	39.7038
AT1G43195	0	0	0
AT1G43200	0	0	0
AT1G43205	0	0	0
AT1G43210	0	0	0
AT1G43220	0	0	0
AT1G43230	0	0	0
AT1G43240	0	0	0
AT1G43245	4.3207	4.18576	4.30042
AT1G43250	0.0119607	0.0108957	0.0118012
AT1G43260	0	0	0.0222898
AT1G43270	0	0	0.0035842
AT1G43280	0	0	0
AT1G43290	0	0	0
AT1G43300	0	0	0
AT1G43310	22.1724	19.847	21.1159
AT1G43320	0	0	0
AT1G43330	0	0	0
AT1G43387	0	0	0
AT1G43415	0	0	0
AT1G43444	0	0	0
AT1G43502	0	0	0
AT1G43560	94.8376	117.138	118.779
AT1G43570	0	0	0
AT1G43575	0	0	0
AT1G43580	24.6588	26.5282	28.2285
AT1G43590	2.97335	2.14821	2.88314
AT1G43600	0	0	0
AT1G43610	0.0273208	0	0
AT1G43620	12.1436	12.7456	12.2835
AT1G43624	0	0	0
AT1G43630	0	0	0
AT1G43640	0.0551238	0.210906	0.108778
AT1G43650	2.04307	1.9288	1.91781
AT1G43660	0	0	0
AT1G43665	0	0	0
AT1G43666	0	0	0
AT1G43667	0	0	0
AT1G43670	163.291	180.382	183.985
AT1G43675	2.36165	2.97883	2.95753
AT1G43680	0	0	0
AT1G43690	19.9338	22.356	20.9526
AT1G43700	37.7143	40.9283	42.0997
AT1G43710	45.2222	49.7041	48.2489
AT1G43715	0	0	0
AT1G43720	0	0	0
AT1G43722	0	0	0
AT1G43723	0	0	0
AT1G43724	0	0	0
AT1G43725	0	0	0
AT1G43730	0	0	0
AT1G43740	0.0414912	0	0
AT1G43745	0.0127237	0	0
AT1G43750	0.00914855	0	0
AT1G43755	0.00646419	0	0
AT1G43760	0	0	0
AT1G43763	0	0	0
AT1G43765	1.16329	1.83683	2.06601
AT1G43766	0	0	0
AT1G43770	2.27816	2.70381	2.44217
AT1G43775	0	0	0
AT1G43777	0	0	0
AT1G43780	0	0	0
AT1G43781	0.0167255	0	0
AT1G43785	0	0	0
AT1G43790	19.7522	20.0766	29.7135
AT1G43800	3.50996	1.58705	1.52936
AT1G43810	0	0	0
AT1G43820	0	0	0
AT1G43830	0	0	0
AT1G43835	0	0	0
AT1G43840	0	0	0
AT1G43845	0	0.0358624	0
AT1G43850	15.17	17.2758	15.7852
AT1G43860	9.51075	10.5043	10.2124
AT1G43870	0	0.0204885	0.0221913
AT1G43880	0	0.0408729	0
AT1G43883	0	0.0112346	0.00304206
AT1G43886	0.385471	0.465905	0.484739
AT1G43890	47.373	44.7949	47.3188
AT1G43895	0	0.0160264	0.0173583
AT1G43897	0	0	0
AT1G43900	18.7204	20.063	19.1807
AT1G43910	0.830906	0.894547	0.574946
AT1G43920	0	0	0
AT1G43930	0	0	0
AT1G43940	0	0	0
AT1G43950	0	0	0
AT1G43960	0	0	0
AT1G43970	0	0	0
AT1G43980	0.313304	0.495267	0.645531
AT1G43990	0	0	0
AT1G43995	0	0	0
AT1G43997	0.074533	0.135794	0.0735396
AT1G44000	89.4652	108.625	124.256
AT1G44010	0	0	0
AT1G44020	0.00725348	0	0
AT1G44030	0	0	0
AT1G44040	0	0	0
AT1G44045	0	0	0
AT1G44050	0	0	0
AT1G44060	0	0	0
AT1G44070	0	0	0
AT1G44075	0	0	0
AT1G44080	0	0	0
AT1G44085	0	0	0
AT1G44090	0	0	0
AT1G44094	0	0	0
AT1G44100	9.04957	10.5572	7.7498
AT1G44110	3.94465	5.04462	5.01478
AT1G44120	0.748952	0.970135	0.950104
AT1G44125	0.111038	0.0871031	0.0821689
AT1G44130	0.136205	0.0965047	0.0895928
AT1G44140	0	0.0659684	0.0714509
AT1G44150	0.337487	0.768596	0.416237
AT1G44160	0.381123	0.526384	0.194087
AT1G44170	19.5833	22.1031	18.8235
AT1G44180	0.165371	0.150647	0.108778
AT1G44191	0	0	0
AT1G44224	0	0	0
AT1G44286	0	0	0
AT1G44318	0	0	0
AT1G44350	19.1914	16.3377	23.7216
AT1G44382	0	0	0
AT1G44414	3.65744	3.60944	4.81158
AT1G44446	184.905	211.248	220.035
AT1G44478	0.204758	0.223832	0.161623
AT1G44510	0.00365261	0	0
AT1G44542	0.0375202	0.0341796	0.0185101
AT1G44575	1162.41	1342.85	1279.33
AT1G44608	0.540657	0.430954	0.566792
AT1G44641	0	0	0
AT1G44674	0	0	0
AT1G44707	0	0	0
AT1G44740	0.399109	0.401844	0.435241
AT1G44750	12.2837	14.1415	14.5121
AT1G44760	18.4505	21.9612	18.8978
AT1G44770	57.1337	55.3293	56.7687
AT1G44780	2.82574	2.90435	2.526
AT1G44790	24.4931	24.9713	26.5249
AT1G44800	18.9757	20.9758	17.2775
AT1G44810	18.381	21.2425	19.4736
AT1G44820	18.7857	20.457	19.8745
AT1G44830	4.57288	2.80438	3.00796
AT1G44835	16.8667	19.4938	19.4795
AT1G44840	0.00593636	0.0108156	0.0175717
AT1G44850	0	0	0
AT1G44860	0	0	0
AT1G44870	0	0	0
AT1G44875	0.0791542	0	0
AT1G44880	0	0	0
AT1G44890	2.58961	3.12002	2.85182
AT1G44900	4.87217	6.40653	5.77891
AT1G44910	6.57287	7.35598	6.26022
AT1G44920	68.1593	74.0932	69.4842
AT1G44935	0	0	0
AT1G44940	0	0	0
AT1G44941	0	0	0
AT1G44960	10.6059	10.6076	9.4063
AT1G44970	0.127603	0.180821	0.0419676
AT1G44980	0	0	0
AT1G44990	0	0	0
AT1G45000	56.3338	62.491	58.2482
AT1G45010	20.1344	22.2105	22.8405
AT1G45015	0	0.034184	0
AT1G45020	0	0	0
AT1G45030	0	0	0
AT1G45035	0	0	0
AT1G45040	0	0	0
AT1G45050	16.9783	15.6392	17.1527
AT1G45063	0	0	0.0146118
AT1G45070	0	0	0
AT1G45080	0	0	0
AT1G45090	0	0	0
AT1G45100	0	0	0
AT1G45110	2.35875	2.95294	2.73561
AT1G45120	1.05987	0.945591	1.09246
AT1G45130	21.7169	24.116	24.4056
AT1G45140	0.00510641	0	0.0100767
AT1G45145	27.6814	27.6207	25.2072
AT1G45150	7.0163	7.63216	6.76943
AT1G45160	12.2703	12.1991	11.9491
AT1G45163	0.316522	0.456538	0.260252
AT1G45165	49.7065	35.3715	43.8642
AT1G45170	10.5069	12.723	12.261
AT1G45180	3.14857	3.9767	3.43219
AT1G45190	0	0	0
AT1G45191	4.38322	4.89875	4.58293
AT1G45201	62.8325	82.3054	93.2316
AT1G45207	6.59315	6.88937	6.31394
AT1G45211	0	0	0
AT1G45215	0	0	0
AT1G45221	0	0	0
AT1G45223	0	0	0
AT1G45225	0	0	0
AT1G45227	0	0	0
AT1G45229	1.86014	1.75504	3.01521
AT1G45230	31.9134	37.5229	39.4072
AT1G45231	2.83293	3.95415	3.87534
AT1G45233	3.93865	4.27677	4.22021
AT1G45234	0	0	0
AT1G45236	0	0	0
AT1G45238	0	0	0
AT1G45240	0	0	0
AT1G45242	0	0	0
AT1G45243	0.0261958	0.0477268	0
AT1G45244	0	0	0
AT1G45246	0	0	0
AT1G45248	2.9074	4.06174	4.97066
AT1G45249	11.1478	12.8515	12.1686
AT1G45256	0	0	0
AT1G45332	6.3474	6.9691	6.13615
AT1G45403	0	0	0
AT1G45474	208.58	196.948	206.728
AT1G45545	1.28852	1.1263	1.21991
AT1G45616	0.0770012	0.080166	0.113962
AT1G45688	53.1488	57.303	54.1385
AT1G45760	0	0	0
AT1G45832	0	0	0
AT1G45904	0	0	0
AT1G45976	25.5035	23.7924	24.5921
AT1G46048	0	0	0
AT1G46120	0.211996	0.208885	0.221977
AT1G46192	0	0	0
AT1G46264	3.64522	3.78109	4.29178
AT1G46336	0	0	0
AT1G46408	0	0	0
AT1G46480	2.74939	3.01508	2.14255
AT1G46552	0.0139274	0.0348901	0.0412252
AT1G46554	9.92723	8.89355	9.36905
AT1G46624	0	0.00518581	0
AT1G46696	0	0	0
AT1G46768	6.52766	5.59144	4.18162
AT1G46840	0	0	0
AT1G46912	0	0	0
AT1G46984	0.016892	0.015388	0
AT1G47056	8.21237	8.66783	8.84055
AT1G47128	330.077	346.415	309.943
AT1G47200	50.0441	52.689	50.9413
AT1G47210	10.9529	12.4176	13.3434
AT1G47220	0	0	0
AT1G47230	5.60636	6.88224	6.50979
AT1G47240	7.30019	7.71391	6.73676
AT1G47250	23.6858	25.6411	24.4616
AT1G47260	72.7053	89.5776	81.4308
AT1G47265	0.0396745	0.072284	0
AT1G47270	13.5891	12.3949	13.4868
AT1G47271	0.477316	0.501712	0.796999
AT1G47278	24.5398	27.0682	30.2358
AT1G47280	0.0484963	0	0
AT1G47290	9.60399	11.3995	10.4336
AT1G47300	0	0	0
AT1G47310	12.4931	12.9275	13.4698
AT1G47317	0	0	0
AT1G47320	0	0	0
AT1G47330	8.64927	11.0153	10.8078
AT1G47340	3.09288	3.39784	2.89958
AT1G47350	0	0	0
AT1G47360	0	0	0
AT1G47370	0.207526	0.315081	0.375394
AT1G47380	9.17623	9.52525	10.3579
AT1G47389	0	0	0
AT1G47390	0	0	0
AT1G47395	3.67649	5.02371	6.16672
AT1G47400	1.46343	2.39964	2.4258
AT1G47405	0	0.0155602	0
AT1G47410	2.03317	2.81708	3.91437
AT1G47420	99.8515	114.439	106.506
AT1G47430	0	0	0
AT1G47435	0	0.0130368	0
AT1G47440	0.352275	0.543077	0.561475
AT1G47450	0	0	0
AT1G47460	0	0	0
AT1G47465	0	0	0
AT1G47470	0	0	0
AT1G47480	3.20077	2.5665	2.41793
AT1G47485	0	0.0678744	0.257304
AT1G47490	25.2605	32.293	26.8907
AT1G47495	0	0	0.0685289
AT1G47497	0.0187126	0	0
AT1G47500	13.9523	17.6457	14.4507
AT1G47510	0.249347	0.346125	0.543893
AT1G47520	1.90608	1.88736	2.20775
AT1G47530	54.5812	59.9038	50.212
AT1G47540	0	0	0
AT1G47550	25.1311	26.731	25.8069
AT1G47560	2.9594	3.1579	3.17309
AT1G47565	1.06041	1.36376	1.27878
AT1G47570	4.92498	5.73591	5.19871
AT1G47578	1.34892	1.79934	1.71121
AT1G47580	15.7011	16.5796	20.498
AT1G47590	0	0	0.0156293
AT1G47595	0	0	0
AT1G47600	0	0	0
AT1G47603	0.0313878	0.0142966	0.0154847
AT1G47606	0	0	0
AT1G47610	0	0.0142966	0
AT1G47620	0	0	0
AT1G47625	0.116627	0.265608	0.345219
AT1G47630	0	0	0
AT1G47640	36.48	36.0208	34.2832
